"Id";"DayType"
"Status2020216";"occupied"
"Status2020217";"occupied"
"Status2020218";"occupied"
"Status2020219";"occupied"
"Status2020220";"arrivalDeparture"
"Status20201219";"arrival"
"Status20201220";"occupied"
"Status20201221";"occupied"
"Status20201222";"occupied"
"Status20201223";"occupied"
"Status20201224";"occupied"
"Status20201225";"occupied"
"Status20201226";"occupied"
"Status20201227";"occupied"
"Status20201228";"occupied"
"Status20201229";"occupied"
"Status20201230";"occupied"
"Status20201231";"occupied"
"Status2021101";"occupied"
"Status2021102";"departure"
"Status2020126";"occupied"
"Status2020127";"occupied"
"Status2020128";"occupied"
"Status2020129";"occupied"
"Status2020125";"arrival"
"Status2021207";"occupied"
"Status2021208";"occupied"
"Status2021209";"occupied"
"Status2021210";"occupied"
"Status2021211";"occupied"
"Status2021212";"occupied"
"Status2021213";"occupied"
"Status2021214";"occupied"
"Status2021215";"occupied"
"Status2021216";"occupied"
"Status2021217";"occupied"
"Status2021218";"occupied"
"Status2021219";"occupied"
"Status2021130";"arrival"
"Status2021201";"occupied"
"Status2021202";"occupied"
"Status2021203";"occupied"
"Status2021204";"occupied"
"Status2021205";"occupied"
"Status2021206";"arrivalDeparture"
"Status2021131";"occupied"
"Status2020711";"arrival"
"Status2020712";"occupied"
"Status2020713";"occupied"
"Status2020714";"occupied"
"Status2020715";"occupied"
"Status2020716";"occupied"
"Status2020717";"occupied"
"Status2020718";"occupied"
"Status2020719";"occupied"
"Status2020720";"occupied"
"Status2020721";"occupied"
"Status2020722";"occupied"
"Status2020723";"occupied"
"Status2020724";"occupied"
"Status2020308";"arrival"
"Status2020309";"occupied"
"Status2020310";"occupied"
"Status2020311";"occupied"
"Status2020312";"occupied"
"Status2020727";"notToOccupy"
"Status2020728";"notToOccupy"
"Status2020729";"notToOccupy"
"Status2020730";"notToOccupy"
"Status2020731";"notToOccupy"
"Status2020801";"notToOccupy"
"Status20201010";"arrival"
"Status20201011";"occupied"
"Status20201012";"occupied"
"Status20201013";"occupied"
"Status20201014";"occupied"
"Status20201015";"occupied"
"Status20201016";"occupied"
"Status20201017";"departure"
"Status2020920";"notToOccupy"
"Status2020921";"notToOccupy"
"Status2020922";"notToOccupy"
"Status2020923";"notToOccupy"
"Status2020913";"occupied"
"Status2020914";"occupied"
"Status2020915";"occupied"
"Status2020916";"occupied"
"Status2020917";"occupied"
"Status2020918";"occupied"
"Status2020919";"arrivalDeparture"
"Status2020725";"occupied"
"Status2020726";"arrivalDeparture"
"Status2020809";"notToOccupy"
"Status2020810";"notToOccupy"
"Status2020811";"notToOccupy"
"Status2020812";"notToOccupy"
"Status2020927";"notToOccupy"
"Status2020928";"notToOccupy"
"Status2020929";"notToOccupy"
"Status2020930";"notToOccupy"
"Status20201001";"notToOccupy"
"Status2020904";"notToOccupy"
"Status2020905";"notToOccupy"
"Status2020906";"notToOccupy"
"Status2020907";"notToOccupy"
"Status2020908";"notToOccupy"
"Status2020909";"notToOccupy"
"Status2020910";"notToOccupy"
"Status2020911";"notToOccupy"
"Status2020912";"arrival"
"Status20201002";"notToOccupy"
"Status20201003";"notToOccupy"
"Status2021220";"arrivalDeparture"
"Status2021221";"occupied"
"Status2021222";"occupied"
"Status2021223";"occupied"
"Status2021224";"occupied"
"Status2021225";"occupied"
"Status2021226";"occupied"
"Status2021227";"occupied"
"Status2021228";"occupied"
"Status2021301";"occupied"
"Status2021302";"occupied"
"Status2021303";"occupied"
"Status2021304";"occupied"
"Status2021305";"occupied"
"Status2021306";"departure"
"Status20211218";"arrival"
"Status20211219";"occupied"
"Status20211220";"occupied"
"Status20211221";"occupied"
"Status20211222";"occupied"
"Status20211223";"occupied"
